User Code,1 Please select your operating administration or office:,2 Begin typing your work zip code and select your work site from the list that will appear below.  If your site does not appear in the list select 'Site not found'.  If you telework 100% of the time please select the site to which you officially report.,3 What is your employment status?,4 How did you travel TO WORK each day during a TYPICAL week?  If you select 'N/A' for transportation method select 'N/A' for # Miles.,Monday,Monday Miles 1,Monday,Monday Miles 2,Monday,Monday Miles 3,Tuesday,Tuesday Miles 1,Tuesday,Tuesday Miles 2,Tuesday,Tuesday Miles 3,Wednesday,Wednesday Miles 1,Wednesday,Wednesday Miles 2,Wednesday,Wednesday Miles 3,Thursday,Thursday Miles 1,Thursday,Thursday Miles 2,Thursday,Thursday Miles 3,Friday,Friday Miles 1,Friday,Friday Miles 2,Friday,Friday Miles 3,If 'other' selected please indicate method of transportation:,5 What is the average total number of people in the Carpool/Vanpool you selected above including yourself? (Select 'N/A' if not applicable.),6 Did you use the same method(s) of transportation indicated above to commute FROM WORK at the end of your workdays? (If you answer 'Yes' you will skip the next section.  This may conclude your survey.),7 How did you travel FROM WORK each day during a TYPICAL week?  If you select 'N/A' for transportation method select 'N/A' for # Miles.,Monday,Monday Miles 1,Monday,Monday Miles 2,Monday,Monday Miles 3,Tuesday,Tuesday Miles 1,Tuesday,Tuesday Miles 2,Tuesday,Tuesday Miles 3,Wednesday,Wednesday Miles 1,Wednesday,Wednesday Miles 2,Wednesday,Wednesday Miles 3,Thursday,Thursday Miles 1,Thursday,Thursday Miles 2,Thursday,Thursday Miles 3,Friday,Friday Miles 1,Friday,Friday Miles 2,Friday,Friday Miles 3,If 'other' selected please indicate method of transportation:,8 What is the average total number of people in the Carpool/Vanpool you selected above including yourself? (Select 'N/A' if not applicable.),9 [HIDDEN] Thinking about last year what would you say is your PRIMARY commuting method?,If 'other' selected please indicate commuting method:,10 How often did you typically spend a full workday teleworking?,11 Overall how satisfied are you with the following?,Your commute to work,Your commute to home,Your agency's telework program,Your agency's alternative work schedule (AWS) program,12 What is the estimated distance between your home and the nearest public transit station or bus stop?,13 Is there any information you would like to add about your commute that was not addressed in this survey?,14 Were the survey questions clear?,15 Did you experience any technical problems while taking this survey?,Survey site was slow to load some/all questions,I was unable to connect to the survey on my first try,My survey link did not work,I had another technical problem not addressed here,I did not have any technical problems,16 How was your overall experience with this survey?,CO2e Emissions (CO2e MT) / year
J4JKAHE3,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,25,Transit rail (e.g. subway),25,Carpool/Vanpool,25,Transit bus,25,Transit rail (e.g. subway),25,Carpool/Vanpool,25,Transit bus,25,Transit rail (e.g. subway),25,Carpool/Vanpool,25,Transit bus,25,Transit rail (e.g. subway),25,Carpool/Vanpool,25,Transit bus,25,Transit rail (e.g. subway),25,Carpool/Vanpool,25,,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpool/Vanpool,,Less than once a month,,very dissatisfied,very dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,More than 2 miles,"I use multiple ways of commuting due because I am a student taking classes after work also.  My normal day consist of 30-40 min drive to metro, then additional 40 min ride in to the city via metro rail.

I have yet been able to utilize the AWS or telework option in my new position.  These would be a joy if able to do.",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,5.26880665
J51PIU7N,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Carpool/Vanpool,1,Transit rail (e.g. subway),20,,,Carpool/Vanpool,1,Transit rail (e.g. subway),20,,,Carpool/Vanpool,1,Transit rail (e.g. subway),20,,,Carpool/Vanpool,1,Transit rail (e.g. subway),20,,,N/A: Teleworked,N/A,N/A: Teleworked,N/A,,,,8,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpool/Vanpool,,Once or twice a month,,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,0.25 to 0.5 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.254019432
J58JPFMC,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Carpool/Vanpool,20,Transit bus,20,,,Carpool/Vanpool,20,Transit bus,20,,,Carpool/Vanpool,20,Transit bus,20,,,Carpool/Vanpool,20,Transit bus,20,,,Carpool/Vanpool,20,Transit bus,20,,,,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpool/Vanpool,,Once or twice a month,,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,2.70896852
J5XE7J04,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Bicycle,7,Transit rail (e.g. subway),7,,,Bicycle,7,Transit rail (e.g. subway),7,,,Bicycle,7,Transit rail (e.g. subway),7,,,Bicycle,7,Transit rail (e.g. subway),7,,,Bicycle,7,Transit rail (e.g. subway),7,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once a week,,Very satisfied,Very satisfied,Somewhat satisfied,N/A,Less than 0.25 mile,"It would be nice if the Agency provided some incentive/transport bonus to those who bike. For example, I know some other organizations provide a voucher or some other renumeration for annual bicycle maintenance.",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.52712688
J679KLUP,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Car (drove alone),10,Transit rail (e.g. subway),25,,,Car (drove alone),10,Transit rail (e.g. subway),25,,,Car (drove alone),10,Transit rail (e.g. subway),25,,,Car (drove alone),10,Transit rail (e.g. subway),25,,,Car (drove alone),10,Transit rail (e.g. subway),25,,,,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Less than once a month,,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,3.6056226
J6ZQIYH0,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Carpool/Vanpool,17,,,,,Carpool/Vanpool,17,,,,,Car (drove alone),17,,,,,Carpool/Vanpool,17,,,,,N/A: Teleworked,N/A,,,,,,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpool/Vanpool,,Once or twice a month,,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.46457261
J7YXFTC8,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,2,Transit rail (e.g. subway),7,,,Transit bus,2,Transit rail (e.g. subway),7,,,Transit bus,2,Transit rail (e.g. subway),7,,,Transit bus,2,Transit rail (e.g. subway),7,,,Transit bus,2,Transit rail (e.g. subway),7,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,I did not telework because I chose not to telework,,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Very satisfied,0.25 to 0.5 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.625721072
J994GE77,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),7,Car (drove alone),<1,Walk,<1,Transit rail (e.g. subway),7,Car (drove alone),<1,Walk,<1,Transit rail (e.g. subway),7,Car (drove alone),<1,Walk,<1,Transit rail (e.g. subway),7,Car (drove alone),<1,Walk,<1,Transit rail (e.g. subway),7,Car (drove alone),<1,Walk,<1,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Less than once a month,,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,1 mile to 1.5 miles,,"Yes, but a few of the questions were confusing.",,off,off,off,off,on,Favorable.  I did not experience any problems.,0.52712688
J9AJR1UW,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,7,Car (drove alone),7,,,Transit bus,7,Car (drove alone),,,,Transit bus,7,Car (drove alone),,,,Transit bus,7,Car (drove alone),,,,Transit bus,7,Car (drove alone),,,,,N/A,No,,Transit bus,7,Car (drove alone),7,,,Transit bus,7,Car (drove alone),7,,,Transit bus,7,Car (drove alone),7,,,Transit bus,7,Car (drove alone),7,,,Transit bus,7,Car (drove alone),7,,,,N/A,Transit bus,,I did not telework because I chose not to telework,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,N/A,Very satisfied,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.068750844
JA089O02,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Walk,<1,Transit rail (e.g. subway),6,,,Walk,<1,Transit rail (e.g. subway),6,,,Walk,<1,Transit rail (e.g. subway),6,,,Walk,<1,Transit rail (e.g. subway),6,,,Walk,<1,Transit rail (e.g. subway),6,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once or twice a month,,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Less than 0.25 mile,Subway delays are having more and more of a negative impact on my commute and driving is looking to be a much better option as it is significantly quicker.,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.45182304
JAAJZIRG,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,2,Transit rail (e.g. subway),6,,,Transit bus,2,Transit rail (e.g. subway),6,,,Transit bus,2,Transit rail (e.g. subway),6,,,Transit bus,2,Transit rail (e.g. subway),6,,,Transit bus,2,Transit rail (e.g. subway),6,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Less than once a month,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.550417232
JAAM9EHS,U.S. Agency for International Development ,Site not found,Federal Government Employee,,Car (drove alone),30,,,,,Car (drove alone),30,,,,,Car (drove alone),30,,,,,Car (drove alone),30,,,,,Car (drove alone),30,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Once or twice a month,,very dissatisfied,very dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,1 mile to 1.5 miles,,"Yes, but a few of the questions were confusing.",,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",5.1690798
JAQE5MSM,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Other,35,Other,35,,,Other,35,Other,35,,,Other,35,Other,35,,,Other,35,Other,35,,,Other,35,Other,35,,,County Commuter Bus,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other (e.g. telework full-time),,I did not telework because I chose not to telework,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",0
JBHBI6W8,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,N/A: Teleworked,N/A,,,,,Intercity rail (e.g. Amtrak),201+,Transit rail (e.g. subway),2,,,N/A: Teleworked,N/A,,,,,N/A: Teleworked,N/A,,,,,N/A: Teleworked,N/A,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other (e.g. telework full-time),,Four times a week,,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,3.45765072
JBQG6TBU,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Walk,<1,Transit rail (e.g. subway),10,,,N/A: Teleworked,N/A,,,,,Walk,<1,Transit rail (e.g. subway),10,,,Walk,<1,Transit rail (e.g. subway),10,,,Walk,<1,Transit rail (e.g. subway),10,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once a week,,Somewhat dissatisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,0.25 to 0.5 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.60243072
JBQHD43R,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,19,,,,,Transit bus,19,,,,,Transit bus,19,,,,,Transit bus,19,,,,,Transit bus,19,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Once or twice a month,,very dissatisfied,very dissatisfied,Somewhat satisfied,Very satisfied,More than 2 miles,Parking fees. Almost $5 dollars a day.,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.936644824
JBXFCXMG,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Car (drove alone),5,Transit bus,20,,,Car (drove alone),5,Transit bus,20,,,Car (drove alone),5,Transit bus,20,,,Car (drove alone),5,Transit bus,20,,,Car (drove alone),5,Transit bus,20,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,"I did not telework because I was not allowed to, even though I have the kind of job where I can telework",,Very satisfied,Very satisfied,Somewhat dissatisfied,Very satisfied,1 mile to 1.5 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.84745522
JBXTD4I9,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Carpool/Vanpool,5,Transit rail (e.g. subway),2,,,Carpool/Vanpool,5,Transit rail (e.g. subway),2,,,Carpool/Vanpool,5,Transit bus,2,,,Carpool/Vanpool,5,Transit rail (e.g. subway),2,,,Carpool/Vanpool,5,Transit rail (e.g. subway),2,,,,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpool/Vanpool,,Less than once a month,,Somewhat satisfied,Somewhat satisfied,Very satisfied,N/A,0.25 to 0.5 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.570961632
JCNQLYYE,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,4,,,,,Transit bus,4,,,,,Transit bus,4,,,,,Transit bus,4,,,,,Transit bus,4,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Once or twice a month,,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.197188384
JD6RLQMA,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),5,,,,,Transit rail (e.g. subway),5,,,,,Transit rail (e.g. subway),5,,,,,Commuter rail (e.g. regional),5,,,,,Transit rail (e.g. subway),5,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,I did not telework because I chose not to telework,,Somewhat satisfied,Somewhat satisfied,N/A,N/A,0.5 to 1 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.38049728
JDCQAIQ4,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,N/A: Teleworked,N/A,N/A: Teleworked,N/A,N/A: Teleworked,N/A,Walk,<1,Transit rail (e.g. subway),4,Walk,<1,N/A: Teleworked,N/A,N/A: Teleworked,N/A,N/A: Teleworked,N/A,Walk,<1,Transit rail (e.g. subway),4,Transit rail (e.g. subway),<1,Walk,<1,Transit rail (e.g. subway),4,Transit rail (e.g. subway),<1,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other (e.g. telework full-time),,Twice a week,,Somewhat satisfied,Somewhat satisfied,Very satisfied,N/A,0.5 to 1 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.180729216
JDHP1NKX,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,N/A: Teleworked,N/A,,,,,Transit bus,12,Transit rail (e.g. subway),20,,,Transit bus,12,Transit rail (e.g. subway),20,,,Transit bus,12,Transit rail (e.g. subway),20,,,Transit bus,12,Transit rail (e.g. subway),20,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Once a week,,Somewhat dissatisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,0.25 to 0.5 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.678113562
JDLEIXEL,U.S. Agency for International Development ,"EnterpriseData - Enterprise Data - , , , VA 20523",Federal Government Employee,,Transit bus,2,Transit rail (e.g. subway),3,,,Transit bus,2,Transit rail (e.g. subway),3,,,Transit bus,2,Transit rail (e.g. subway),3,,,Transit bus,2,Transit rail (e.g. subway),3,,,N/A: Teleworked,N/A,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Once a week,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,N/A,Less than 0.25 mile,Thanks for the transit subsidy!,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.25960457
JDV06G8Z,U.S. Agency for International Development ,"USAID2 - 2 Potomac Yards - 2733 Crystal City Drive, , Arlington, VA 22201",Federal Government Employee,,Carpool/Vanpool,7,,,,,Carpool/Vanpool,7,,,,,N/A: Teleworked,N/A,,,,,Carpool/Vanpool,7,,,,,Car (drove alone),7,,,,,,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpool/Vanpool,,Once a week,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,0.5 to 1 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.60305931
JF3MP2HH,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),3,,,,,Transit rail (e.g. subway),3,,,,,Transit rail (e.g. subway),3,,,,,N/A: Teleworked,N/A,,,,,N/A: AWS day off (e.g. 5/4-9 plan),N/A,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once or twice a month,,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,0.25 to 0.5 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.135546912
JF6LAJWG,U.S. Agency for International Development ,"USAID7 - SA-44 Federal Center Plaza II - 400 C Street SW, , Washington, DC 20024",Federal Government Employee,,Transit rail (e.g. subway),3,,,,,Transit rail (e.g. subway),3,,,,,Transit rail (e.g. subway),3,,,,,Transit rail (e.g. subway),3,,,,,Transit rail (e.g. subway),3,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once or twice a month,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.22591152
JFE4NBG1,U.S. Agency for International Development ,"10009 - Harry S Truman Building - 2201 C St NW, , Washington, DC 20522",Federal Government Employee,,Walk,2,Transit bus,2,Transit rail (e.g. subway),2,Walk,2,Transit bus,2,Transit rail (e.g. subway),2,Walk,2,Transit bus,2,Transit rail (e.g. subway),2,Walk,2,Transit bus,2,Transit rail (e.g. subway),2,Walk,2,Transit bus,2,Transit rail (e.g. subway),2,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Once or twice a month,,Somewhat dissatisfied,Somewhat dissatisfied,Very satisfied,Very satisfied,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.249201872
JFSQ3O3H,U.S. Agency for International Development ,"USAID7 - SA-44 Federal Center Plaza II - 400 C Street SW, , Washington, DC 20024",Federal Government Employee,,Commuter rail (e.g. regional),55,Car (drove alone),20,,,Commuter rail (e.g. regional),55,Car (drove alone),20,,,N/A: Teleworked,N/A,,,,,Commuter rail (e.g. regional),55,Car (drove alone),20,,,N/A: Teleworked,N/A,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Twice a week,,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,More than 2 miles,I ride the VRE(Virginia Railway Express) commuter train from Fredericksburg Va.  It is very expensive and I pay for most of it on my own.  I also have to drive 20 miles to and from the train station.  It would mean alot if we were better able to be compensated or re-coup some of these expenses on our tax return.,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",4.68393528
JGFFEMOR,U.S. Agency for International Development ,"USAID7 - SA-44 Federal Center Plaza II - 400 C Street SW, , Washington, DC 20024",Federal Government Employee,,Car (drove alone),25,Commuter rail (e.g. regional),30,,,Car (drove alone),25,Commuter rail (e.g. regional),30,,,Car (drove alone),25,Commuter rail (e.g. regional),30,,,Car (drove alone),25,Commuter rail (e.g. regional),30,,,N/A: Teleworked,N/A,N/A: Teleworked,N/A,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Once a week,,Somewhat satisfied,Neither satisfied nor dissatisfied,Very satisfied,N/A,More than 2 miles,,"Yes, but a few of the questions were confusing.",,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",5.34881928
JGK2QGCU,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),2,,,,,Transit rail (e.g. subway),2,,,,,Transit rail (e.g. subway),2,,,,,Transit rail (e.g. subway),2,,,,,Transit rail (e.g. subway),2,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Less than once a month,,very dissatisfied,very dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.15060768
JGM0H1HX,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Car (drove alone),28,,,,,Car (drove alone),28,,,,,Car (drove alone),28,,,,,Car (drove alone),28,,,,,Car (drove alone),28,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,"I did not telework because I must be physically present on the job (e.g., Law Enforcement)",,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,very dissatisfied,Neither satisfied nor dissatisfied,More than 2 miles,"The survey does not consider the trade-offs between driving in and using public transportation.  As an executive, I must be in the office all days, often long hours.  However, I am able to commute by commuter bus about two days a week, which would be preferred.  However, employees are allowed an option of parking garage or public, no combinations there of.  The result is I have the financial incentive to drive each day given the parking benefit and the cost of a long distance commuter bus.","Yes, but a few of the questions were confusing.",,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",4.82447448
JI9TOV65,U.S. Agency for International Development ,"USAID2 - 2 Potomac Yards - 2733 Crystal City Drive, , Arlington, VA 22201",Federal Government Employee,,Car (drove alone),8,Transit rail (e.g. subway),8,,,Transit rail (e.g. subway),8,,,,,Transit rail (e.g. subway),8,,,,,Transit rail (e.g. subway),8,,,,,Transit rail (e.g. subway),8,Car (drove alone),8,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once a week,,Somewhat dissatisfied,Somewhat dissatisfied,Very satisfied,N/A,0.5 to 1 mile,I appreciate my federal metro transit benefit.  The price of Washington's metro has risen surprisingly.  One week's commute is now a considerable expense.  Thank you for this benefit.,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.153799232
JIDAGLJP,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),6,Walk,<1,,,Transit rail (e.g. subway),6,Walk,<1,,,Transit rail (e.g. subway),6,Walk,<1,,,Transit rail (e.g. subway),6,Walk,<1,,,Transit rail (e.g. subway),6,Walk,<1,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once a week,,Very satisfied,Very satisfied,Very satisfied,N/A,0.25 to 0.5 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.45182304
JIE8OKFQ,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Truck/SUV/Van Gas (drove alone),59,,,,,Truck/SUV/Van Gas (drove alone),59,,,,,Truck/SUV/Van Gas (drove alone),59,,,,,Truck/SUV/Van Gas (drove alone),59,,,,,Truck/SUV/Van Gas (drove alone),59,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Truck/SUV/Van (drove alone),,Once or twice a month,,very dissatisfied,very dissatisfied,Somewhat satisfied,N/A,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,14.50160764
